#percentage  seed  absolute_enhancement  relative_enhancement
30 -27575 346.87550114440737007781 882.49918029010912686718
40 -111004 361.21386026588729636067 92.70327649289895405673
40 -93096 321.20505626073441115066 699.77420041024361916949
40 -26565 308.65301510145861378723 74.32432971332216676233
40 -40506 161.66154033419820473399 215.76418929310684383803
40 -85136 223.38253341466714405516 404.12851036459259020723
40 -11452 304.51342693301025110925 2329.00534203311849638241
40 -328544 105.84809194374293439287 5757.87082051745438258135
40 -57989 129.93902038067313635884 550.86112048597527585846
40 -45204 156.30423818062197360099 87.26981240032121034872
40 -53740 124.20873630602385917996 985.88416102621370107034
40 -38355 297.06093357263151566993 591.70672194189135618351
40 -19815 294.01623930926870873934 324.09521099081797851505
40 -21910 162.29495102850398154321 1052.11232057837488316644
40 -22634 238.56461490483443181322 428.52047194322495706354
40 -50089 328.21397293668981774675 80.58461147223643531631
40 -30962 191.06281719290293865384 4311.46793696614748436126
40 -53546 163.63113907650504063765 50.05884490367039733362
40 -223864 95.14130865874664974618 406.58384146399403082832
40 -29832 135.20326652246849107715 5579.41884859826639176331
40 -111872 117.56421480131879637603 269.57755529806435595003
40 -24894 187.12931165045006566504 348.81322891141341888365
40 -27937 223.39044040736474592045 411.21147354265248046283
40 -39425 157.15956840860940942959 2344.44873125976449928078
40 -17770 419.44157641858977759330 69.76263710511602098670
40 -29986 401.95371608069280431649 302.14519246419037219176
40 -2832 84.88566933815446308773 786.33358637953572730987
40 -49662 363.38293388682959621798 599.31883294763437538148
40 -30531 227.99225425888604552395 1537.81345335709433193835
40 -71756 243.81854814751464670721 272.91953189500210933749
40 -27720 124.30978860194382098085 470.41517964438367538357
40 -36871 208.45989187521845947728 64646.21397060732592343471
40 -40915 298.31390805701223472426 416.99312058479529097016
40 -52129 291.73887705091508433649 4469.17107555949434213864
40 -21122 320.51332497883105718084 509.55730119589172466271
40 -33705 94.95366655440995156933 12119.54488008830968619305
40 -22321 373.15042907234392860929 57.90247854126458344479
40 -101366 296.90528179659465232161 150.89697278961857864589
40 -41186 187.79096622174508226502 3782.67225196820964005069
